P_TOTAL,POB0_4,POB18_,PNACOENT,GRADOESCO,PCASADA12_,P_1SM,P1_2SM,P2_5SM,P6_10SM,P10_SM,T_VIVHAB,VIVPARHAB,PRO_OCVP,PRO_OVP,VP_TV,TOTHOG
63.0,10.0,35.0,1.0,6.0,20.0,1.0,11.0,8.0,0.0,0.0,11.0,11.0,1.97,5.73,11.0,14.0
31.0,2.0,12.0,7.0,6.0,8.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,3.1,7.75,4.0,4.0
163.0,17.0,93.0,12.0,5.0,63.0,3.0,35.0,16.0,0.0,0.0,32.0,32.0,2.14,5.09,29.0,32.0
20.0,3.0,9.0,1.0,5.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,2.5,6.67,3.0,3.0
15.0,0.0,9.0,1.0,6.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,2.14,5.0,3.0,3.0
18.0,0.0,11.0,3.0,5.0,8.0,1.0,5.0,0.0,0.0,0.0,3.0,3.0,1.5,6.0,3.0,3.0
38.0,2.0,17.0,0.0,5.0,14.0,1.0,7.0,8.0,0.0,0.0,7.0,7.0,2.71,5.43,7.0,7.0
60.0,8.0,36.0,8.0,7.0,22.0,0.0,4.0,5.0,4.0,1.0,10.0,10.0,1.5,6.0,10.0,12.0
22.0,1.0,14.0,2.0,4.0,8.0,0.0,7.0,3.0,0.0,0.0,3.0,3.0,2.44,7.33,3.0,3.0
10.0,2.0,8.0,0.0,4.0,6.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,1.25,3.33,1.0,3.0
32.0,6.0,14.0,3.0,4.0,16.0,0.0,5.0,3.0,0.0,0.0,6.0,6.0,2.0,5.33,5.0,7.0
92.0,9.0,60.0,12.0,5.0,40.0,1.0,14.0,9.0,1.0,0.0,19.0,19.0,1.31,4.84,19.0,20.0
232.0,54.0,103.0,52.0,5.0,93.0,6.0,17.0,41.0,1.0,1.0,46.0,45.0,2.45,5.07,42.0,48.0
254.0,47.0,133.0,56.0,6.0,98.0,9.0,37.0,29.0,3.0,1.0,51.0,51.0,2.37,4.98,49.0,51.0
87.0,9.0,43.0,6.0,5.0,27.0,1.0,22.0,13.0,0.0,0.0,19.0,18.0,2.24,4.61,17.0,18.0
68.0,12.0,29.0,2.0,5.0,18.0,6.0,9.0,6.0,0.0,0.0,10.0,10.0,2.62,6.8,9.0,10.0
13.0,2.0,6.0,4.0,4.0,6.0,0.0,4.0,1.0,0.0,0.0,3.0,3.0,1.86,4.33,3.0,3.0
10.0,0.0,7.0,6.0,10.0,6.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.77,3.33,3.0,3.0
770.0,118.0,396.0,187.0,4.0,325.0,15.0,109.0,74.0,3.0,1.0,166.0,163.0,3.07,4.65,96.0,171.0
38.0,5.0,17.0,2.0,5.0,13.0,1.0,6.0,5.0,0.0,0.0,8.0,8.0,1.73,4.75,6.0,8.0
18.0,3.0,10.0,1.0,5.0,10.0,1.0,3.0,4.0,0.0,0.0,5.0,5.0,1.8,3.6,5.0,5.0
14.0,0.0,7.0,8.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,2.0,3.5,4.0,4.0
12.0,2.0,5.0,8.0,11.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,2.0,3.0
62.0,5.0,33.0,5.0,7.0,22.0,2.0,9.0,11.0,0.0,0.0,11.0,11.0,1.94,5.64,11.0,13.0
15.0,3.0,8.0,1.0,6.0,6.0,0.0,4.0,2.0,0.0,0.0,3.0,3.0,1.88,5.0,3.0,3.0
22.0,2.0,14.0,2.0,8.0,4.0,3.0,4.0,0.0,1.0,2.0,4.0,4.0,2.0,5.5,3.0,4.0
9.0,2.0,6.0,1.0,5.0,6.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,1.5,3.0,3.0,3.0
10.0,1.0,5.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.11,3.33,3.0,3.0
11.0,0.0,6.0,0.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,3.0,3.0,2.2,3.67,3.0,3.0
16.0,5.0,6.0,1.0,6.0,6.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,2.67,5.33,3.0,3.0
49.0,4.0,24.0,18.0,8.0,19.0,1.0,4.0,7.0,0.0,1.0,10.0,9.0,2.37,5.0,9.0,10.0
134.0,22.0,51.0,27.0,5.0,45.0,6.0,14.0,8.0,0.0,0.0,25.0,23.0,3.07,5.61,14.0,25.0
13.0,1.0,8.0,4.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,2.6,3.25,3.0,4.0
17.0,2.0,13.0,2.0,5.0,6.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,1.31,4.25,4.0,4.0
106.0,21.0,57.0,11.0,6.0,47.0,1.0,20.0,9.0,0.0,0.0,23.0,23.0,2.41,4.61,23.0,23.0
45.0,11.0,20.0,30.0,5.0,20.0,1.0,5.0,6.0,0.0,1.0,10.0,10.0,2.81,4.5,10.0,10.0
19.0,4.0,8.0,1.0,5.0,6.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,2.71,6.33,3.0,3.0
9.0,0.0,7.0,6.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,2.25,2.0,4.0
37.0,10.0,20.0,9.0,4.0,16.0,0.0,4.0,5.0,0.0,0.0,8.0,8.0,2.31,4.63,7.0,9.0
17.0,4.0,10.0,0.0,5.0,8.0,0.0,4.0,1.0,0.0,0.0,4.0,4.0,2.43,4.25,4.0,4.0
41.0,7.0,14.0,0.0,5.0,10.0,1.0,9.0,2.0,0.0,0.0,4.0,4.0,3.42,10.25,4.0,4.0
20.0,2.0,16.0,16.0,4.0,8.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,1.05,5.0,4.0,4.0
16.0,1.0,10.0,0.0,3.0,6.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,5.33,3.0,3.0
17.0,2.0,7.0,10.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,1.42,4.25,2.0,4.0
60.0,12.0,25.0,5.0,5.0,25.0,1.0,7.0,5.0,0.0,0.0,12.0,12.0,2.46,5.0,9.0,12.0
21.0,2.0,9.0,1.0,6.0,6.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,2.33,7.0,3.0,3.0
65.0,10.0,35.0,18.0,7.0,30.0,3.0,3.0,12.0,2.0,2.0,16.0,16.0,1.59,4.06,16.0,16.0
24.0,2.0,12.0,0.0,6.0,12.0,0.0,5.0,3.0,0.0,0.0,6.0,6.0,1.71,4.0,6.0,6.0
44.0,9.0,13.0,0.0,5.0,12.0,0.0,4.0,3.0,1.0,0.0,8.0,8.0,2.59,5.5,8.0,8.0
20.0,2.0,10.0,0.0,6.0,10.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,2.86,4.0,5.0,5.0
24.0,3.0,10.0,0.0,4.0,7.0,0.0,2.0,5.0,0.0,0.0,3.0,3.0,1.6,8.0,3.0,3.0
21.0,4.0,9.0,3.0,2.0,8.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,3.5,5.25,2.0,5.0
11.0,2.0,7.0,3.0,9.0,7.0,0.0,2.0,0.0,2.0,1.0,4.0,4.0,0.58,2.75,3.0,4.0
35.0,6.0,16.0,4.0,3.0,12.0,3.0,3.0,3.0,0.0,0.0,8.0,8.0,2.92,4.38,6.0,8.0
12.0,0.0,8.0,5.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.71,4.0,2.0,3.0
136.0,27.0,64.0,50.0,5.0,57.0,6.0,20.0,12.0,0.0,0.0,29.0,28.0,2.5,4.71,17.0,29.0
4.0,,,,,,,,,,,1.0,,,,,
17.0,0.0,4.0,0.0,3.0,6.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,1.89,5.67,3.0,3.0
19.0,3.0,8.0,5.0,4.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,3.8,4.75,3.0,4.0
80.0,10.0,34.0,2.0,5.0,27.0,3.0,12.0,5.0,0.0,0.0,13.0,13.0,1.94,6.15,12.0,13.0
174.0,27.0,89.0,49.0,6.0,61.0,2.0,20.0,27.0,1.0,0.0,32.0,31.0,2.5,5.48,28.0,32.0
30.0,1.0,14.0,16.0,5.0,9.0,1.0,10.0,3.0,0.0,0.0,4.0,4.0,3.0,7.5,4.0,4.0
16.0,2.0,8.0,2.0,4.0,8.0,0.0,2.0,2.0,0.0,1.0,3.0,3.0,4.0,5.33,0.0,3.0
103.0,18.0,52.0,24.0,4.0,44.0,0.0,15.0,13.0,0.0,0.0,20.0,20.0,2.81,5.15,18.0,21.0
874.0,91.0,470.0,17.0,6.0,317.0,16.0,79.0,67.0,1.0,0.0,181.0,181.0,1.81,4.83,169.0,186.0
